dataset,variable,description,type,n,n_missing,pct_missing,details
analysis_cell_long.csv,comm_qa,Derived or carried variable from upstream data preparation.,numeric,1365,210,0.154,"range: [1, 4.25]"
analysis_cell_long.csv,eye_qa,Derived or carried variable from upstream data preparation.,numeric,1365,210,0.154,"range: [1, 5]"
analysis_cell_long.csv,prox_end,Derived or carried variable from upstream data preparation.,numeric,1365,480,0.352,"range: [1, 5]"
analysis_cell_long.csv,touch_end,Derived or carried variable from upstream data preparation.,numeric,1365,480,0.352,"range: [1, 99]"
analysis_cell_long.csv,comm_end,Derived or carried variable from upstream data preparation.,numeric,1365,480,0.352,"range: [1, 4.6]"
analysis_cell_long.csv,eye_end,Derived or carried variable from upstream data preparation.,numeric,1365,480,0.352,"range: [2, 5]"
analysis_cell_long.csv,ee_intro_play,Derived or carried variable from upstream data preparation.,numeric,1365,75,0.055,"range: [-1.47, 2]"
analysis_cell_long.csv,ee_qa,Derived or carried variable from upstream data preparation.,numeric,1365,210,0.154,"range: [-1, 2.15]"
analysis_cell_long.csv,ee_end,Derived or carried variable from upstream data preparation.,numeric,1365,480,0.352,"range: [-0.6, 2]"
analysis_cell_long.csv,story_length,Derived or carried variable from upstream data preparation.,numeric,1365,240,0.176,"range: [52, 186]"
analysis_cell_long.csv,visual_attent,Derived or carried variable from upstream data preparation.,numeric,1365,240,0.176,"range: [1.98, 85.8]"
analysis_cell_long.csv,story_engage,Derived or carried variable from upstream data preparation.,numeric,1365,240,0.176,"range: [0.04, 1]"
analysis_cell_long.csv,any_cell_exceeds,Derived or carried variable from upstream data preparation.,character,1365,0,0.0,"examples: FALSE, TRUE"
analysis_cell_long.csv,any_left_early,TRUE if participant left early in intro_play or q&a.,character,1365,0,0.0,"examples: FALSE, TRUE"
analysis_interval_long.csv,pid,Public participant ID (integer; unique). Re-coded for release; not linkable to the identifiers used during data collection.,numeric,15025,0,0.0,"range: [102, 212]"
analysis_interval_long.csv,group,Group label (ASD or NT / Autistic or Non-autistic).,character,15025,0,0.0,"examples: ASD, NT"
analysis_interval_long.csv,phase,"Experiment phase (normalised): intro_play, q&a, goodbye.",character,15025,0,0.0,"examples: goodbye, intro_play, q&a"
analysis_interval_long.csv,engagement_type,"Engagement construct (e.g., touch, emotion, proximity, eye, communication).",character,15025,0,0.0,"examples: Communication, Emotion, Eye, Proximity"
analysis_interval_long.csv,interval_num,Numeric interval index parsed from original interval column.,numeric,15025,0,0.0,"range: [1, 26]"
analysis_interval_long.csv,valid_interval,"TRUE if interval_num ≤ n_intervals_phase (i.e., within attempted span).",character,15025,0,0.0,examples: TRUE
analysis_interval_long.csv,n_intervals_phase,Child-specific attempted-interval cap within a phase (from manual column).,numeric,15025,0,0.0,"range: [1, 26]"
analysis_interval_long.csv,left_phase,"Whether the child left the phase (1 = yes, 0/NA = no).",numeric,15025,0,0.0,"range: [0, 1]"
analysis_interval_long.csv,score,Engagement score with 99 recoded to NA.,numeric,15025,1067,0.071,"range: [-2, 8]"
analysis_interval_long.csv,trial,Derived or carried variable from upstream data preparation.,numeric,15025,0,0.0,"range: [0, 1]"
analysis_interval_long.csv,practice_trial_1,"Practice trial 1: 1=correct, 0=incorrect, NA=missing.",numeric,15025,2670,0.178,"range: [0, 1]"
analysis_interval_long.csv,practice_trial_2,"Practice trial 2: 1=correct, 0=incorrect, NA=missing.",numeric,15025,2670,0.178,"range: [0, 1]"
analysis_interval_long.csv,pok_1,Derived or carried variable from upstream data preparation.,numeric,15025,2845,0.189,"range: [0, 1]"
analysis_interval_long.csv,pok_2,Derived or carried variable from upstream data preparation.,numeric,15025,3365,0.224,"range: [0, 1]"
analysis_interval_long.csv,pok_3,Derived or carried variable from upstream data preparation.,numeric,15025,3965,0.264,"range: [0, 1]"
analysis_interval_long.csv,lif_1,Derived or carried variable from upstream data preparation.,numeric,15025,2845,0.189,"range: [0, 1]"
analysis_interval_long.csv,lif_2,Derived or carried variable from upstream data preparation.,numeric,15025,3215,0.214,"range: [0, 1]"
analysis_interval_long.csv,lif_3,Derived or carried variable from upstream data preparation.,numeric,15025,4350,0.29,"range: [0, 1]"
analysis_interval_long.csv,neem_1,Derived or carried variable from upstream data preparation.,numeric,15025,3005,0.2,"range: [0, 1]"
analysis_interval_long.csv,neem_2,Derived or carried variable from upstream data preparation.,numeric,15025,3215,0.214,"range: [0, 1]"
analysis_interval_long.csv,neem_3,Derived or carried variable from upstream data preparation.,numeric,15025,3965,0.264,"range: [0, 1]"
analysis_interval_long.csv,wug_1,Derived or carried variable from upstream data preparation.,numeric,15025,2670,0.178,"range: [0, 1]"
analysis_interval_long.csv,wug_2,Derived or carried variable from upstream data preparation.,numeric,15025,3570,0.238,"range: [0, 1]"
analysis_interval_long.csv,wug_3,Derived or carried variable from upstream data preparation.,numeric,15025,3965,0.264,"range: [0, 1]"
analysis_interval_long.csv,total_pok,Derived or carried variable from upstream data preparation.,numeric,15025,3965,0.264,"range: [0, 3]"
analysis_interval_long.csv,total_lif,Derived or carried variable from upstream data preparation.,numeric,15025,4350,0.29,"range: [0, 3]"
analysis_interval_long.csv,total_neem,Derived or carried variable from upstream data preparation.,numeric,15025,3965,0.264,"range: [0, 3]"
analysis_interval_long.csv,total_wug,Derived or carried variable from upstream data preparation.,numeric,15025,3965,0.264,"range: [0, 3]"
analysis_interval_long.csv,total_test_score,Derived or carried variable from upstream data preparation.,numeric,15025,3005,0.2,"range: [3, 12]"
analysis_interval_long.csv,no_test_items_completed,Derived or carried variable from upstream data preparation.,numeric,15025,9010,0.6,"range: [6, 12]"
analysis_interval_long.csv,prox_intro_play,Derived or carried variable from upstream data preparation.,numeric,15025,630,0.042,"range: [0.04, 5]"
analysis_interval_long.csv,touch_intro_play,Derived or carried variable from upstream data preparation.,numeric,15025,630,0.042,"range: [1, 99]"
analysis_interval_long.csv,comm_intro_play,Derived or carried variable from upstream data preparation.,numeric,15025,630,0.042,"range: [1, 3.92]"
analysis_interval_long.csv,eye_intro_play,Derived or carried variable from upstream data preparation.,numeric,15025,630,0.042,"range: [1.67, 5]"
analysis_interval_long.csv,prox_qa,Derived or carried variable from upstream data preparation.,numeric,15025,1295,0.086,"range: [1, 5]"
analysis_interval_long.csv,touch_qa,Derived or carried variable from upstream data preparation.,numeric,15025,1295,0.086,"range: [1, 99]"
analysis_interval_long.csv,comm_qa,Derived or carried variable from upstream data preparation.,numeric,15025,1295,0.086,"range: [1, 4.25]"
analysis_interval_long.csv,eye_qa,Derived or carried variable from upstream data preparation.,numeric,15025,1295,0.086,"range: [1, 5]"
analysis_interval_long.csv,prox_end,Derived or carried variable from upstream data preparation.,numeric,15025,4315,0.287,"range: [1, 5]"
analysis_interval_long.csv,touch_end,Derived or carried variable from upstream data preparation.,numeric,15025,4315,0.287,"range: [1, 99]"
analysis_interval_long.csv,comm_end,Derived or carried variable from upstream data preparation.,numeric,15025,4315,0.287,"range: [1, 4.6]"
analysis_interval_long.csv,eye_end,Derived or carried variable from upstream data preparation.,numeric,15025,4315,0.287,"range: [2, 5]"
analysis_interval_long.csv,ee_intro_play,Derived or carried variable from upstream data preparation.,numeric,15025,630,0.042,"range: [-1.47, 2]"
analysis_interval_long.csv,ee_qa,Derived or carried variable from upstream data preparation.,numeric,15025,1295,0.086,"range: [-1, 2.15]"
analysis_interval_long.csv,ee_end,Derived or carried variable from upstream data preparation.,numeric,15025,4315,0.287,"range: [-0.6, 2]"
analysis_interval_long.csv,story_length,Derived or carried variable from upstream data preparation.,numeric,15025,1540,0.102,"range: [52, 186]"
analysis_interval_long.csv,visual_attent,Derived or carried variable from upstream data preparation.,numeric,15025,1540,0.102,"range: [1.98, 85.8]"
analysis_interval_long.csv,story_engage,Derived or carried variable from upstream data preparation.,numeric,15025,1540,0.102,"range: [0.04, 1]"
analysis_interval_long.csv,any_cell_exceeds,Derived or carried variable from upstream data preparation.,character,15025,0,0.0,"examples: FALSE, TRUE"
analysis_interval_long.csv,worst_missing_pct,Proportion (0–1).,numeric,15025,0,0.0,"range: [0, 1]"
analysis_interval_long.csv,any_left_early,TRUE if participant left early in intro_play or q&a.,character,15025,0,0.0,"examples: FALSE, TRUE"
analysis_interval_long.csv,flag_exclude_participant,Derived boolean flag used in inclusion/exclusion logic.,character,15025,0,0.0,"examples: FALSE, TRUE"
analysis_main_deidentified.csv,pid,Public participant ID (integer; unique). Re-coded for release; not linkable to the identifiers used during data collection.,numeric,65,0,0.0,"range: [102, 210]"
analysis_main_deidentified.csv,trial,Derived or carried variable from upstream data preparation.,numeric,65,0,0.0,"range: [0, 1]"
analysis_main_deidentified.csv,practice_trial_1,"Practice trial 1: 1=correct, 0=incorrect, NA=missing.",numeric,65,0,0.0,"range: [0, 1]"
analysis_main_deidentified.csv,practice_trial_2,"Practice trial 2: 1=correct, 0=incorrect, NA=missing.",numeric,65,0,0.0,"range: [0, 1]"
analysis_main_deidentified.csv,pok_1,Derived or carried variable from upstream data preparation.,numeric,65,0,0.0,"range: [0, 1]"
analysis_main_deidentified.csv,pok_2,Derived or carried variable from upstream data preparation.,numeric,65,2,0.031,"range: [0, 1]"
analysis_main_deidentified.csv,pok_3,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [0, 1]"
analysis_main_deidentified.csv,lif_1,Derived or carried variable from upstream data preparation.,numeric,65,0,0.0,"range: [0, 1]"
analysis_main_deidentified.csv,lif_2,Derived or carried variable from upstream data preparation.,numeric,65,0,0.0,"range: [0, 1]"
analysis_main_deidentified.csv,lif_3,Derived or carried variable from upstream data preparation.,numeric,65,6,0.092,"range: [0, 1]"
analysis_main_deidentified.csv,neem_1,Derived or carried variable from upstream data preparation.,numeric,65,0,0.0,"range: [0, 1]"
analysis_main_deidentified.csv,neem_2,Derived or carried variable from upstream data preparation.,numeric,65,0,0.0,"range: [0, 1]"
analysis_main_deidentified.csv,neem_3,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [0, 1]"
analysis_main_deidentified.csv,wug_1,Derived or carried variable from upstream data preparation.,numeric,65,0,0.0,"range: [0, 1]"
analysis_main_deidentified.csv,wug_2,Derived or carried variable from upstream data preparation.,numeric,65,3,0.046,"range: [0, 1]"
analysis_main_deidentified.csv,wug_3,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [0, 1]"
analysis_main_deidentified.csv,total_pok,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [0, 3]"
analysis_main_deidentified.csv,total_lif,Derived or carried variable from upstream data preparation.,numeric,65,6,0.092,"range: [0, 3]"
analysis_main_deidentified.csv,total_neem,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [0, 3]"
analysis_main_deidentified.csv,total_wug,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [0, 3]"
analysis_main_deidentified.csv,total_test_score,Derived or carried variable from upstream data preparation.,numeric,65,0,0.0,"range: [3, 12]"
analysis_main_deidentified.csv,no_test_items_completed,Derived or carried variable from upstream data preparation.,numeric,65,36,0.554,"range: [6, 12]"
analysis_main_deidentified.csv,prox_intro_play,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [0.04, 4.81]"
analysis_main_deidentified.csv,touch_intro_play,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [1, 99]"
analysis_main_deidentified.csv,comm_intro_play,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [1, 3.92]"
analysis_main_deidentified.csv,eye_intro_play,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [3.15, 5]"
analysis_main_deidentified.csv,prox_qa,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [1, 5]"
analysis_main_deidentified.csv,touch_qa,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [1, 99]"
analysis_main_deidentified.csv,comm_qa,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [1, 4.25]"
analysis_main_deidentified.csv,eye_qa,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [1.82, 5]"
analysis_main_deidentified.csv,prox_end,Derived or carried variable from upstream data preparation.,numeric,65,7,0.108,"range: [1, 5]"
analysis_main_deidentified.csv,touch_end,Derived or carried variable from upstream data preparation.,numeric,65,7,0.108,"range: [1, 99]"
analysis_main_deidentified.csv,comm_end,Derived or carried variable from upstream data preparation.,numeric,65,7,0.108,"range: [1, 4.6]"
analysis_main_deidentified.csv,eye_end,Derived or carried variable from upstream data preparation.,numeric,65,7,0.108,"range: [2, 5]"
analysis_main_deidentified.csv,ee_intro_play,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [-0.32, 2]"
analysis_main_deidentified.csv,ee_qa,Derived or carried variable from upstream data preparation.,numeric,65,4,0.062,"range: [-0.46, 1.83]"
analysis_main_deidentified.csv,ee_end,Derived or carried variable from upstream data preparation.,numeric,65,7,0.108,"range: [-0.6, 2]"
analysis_main_deidentified.csv,story_length,Derived or carried variable from upstream data preparation.,numeric,65,5,0.077,"range: [73, 186]"
analysis_main_deidentified.csv,visual_attent,Derived or carried variable from upstream data preparation.,numeric,65,5,0.077,"range: [3.86, 85.8]"
analysis_main_deidentified.csv,story_engage,Derived or carried variable from upstream data preparation.,numeric,65,5,0.077,"range: [0.05, 1]"
analysis_main_deidentified.csv,age_band,Age band at testing (36-47m / 48-59m / 60-73m). Replaces exact age for release.,character,65,3,0.046,"examples: 36-47m, 48-59m, 60-73m"
analysis_main_deidentified.csv,group,Group label (ASD or NT / Autistic or Non-autistic).,character,65,0,0.0,"examples: ASD, NT"
analysis_main_deidentified.csv,ados_comparison_band,"ADOS-2 comparison score, banded for release (1-3 / 4-5 / 6-7 / 8-10). Autistic only.",character,65,45,0.692,"examples: 4-5, 6-7, 8-10"
analysis_main_deidentified.csv,vineland_abc_band,"Vineland-3 ABC standard score, banded for release. Autistic only.",character,65,44,0.677,"examples: 56-70, 71-85, <=55, >85"
analysis_main_deidentified.csv,verbal_dq_band,"Verbal developmental quotient, banded for release. Autistic only.",character,65,42,0.646,"examples: 51-70, 71-85, <=50"
analysis_main_deidentified.csv,nonverbal_dq_band,"Non-verbal developmental quotient, banded for release. Autistic only.",character,65,42,0.646,"examples: 51-70, 71-85, <=50, >85"
engagement_cleaned_intervals.csv,pid,Public participant ID (integer; unique). Re-coded for release; not linkable to the identifiers used during data collection.,numeric,2036,0,0.0,"range: [102, 212]"
engagement_cleaned_intervals.csv,group,Group label (ASD or NT / Autistic or Non-autistic).,character,2036,0,0.0,"examples: Autistic, Non-autistic"
engagement_cleaned_intervals.csv,phase,"Experiment phase (normalised): intro_play, q&a, goodbye.",character,2036,0,0.0,"examples: intro_play, q&a"
engagement_cleaned_intervals.csv,interval_num,Numeric interval index parsed from original interval column.,numeric,2036,0,0.0,"range: [1, 26]"
engagement_cleaned_intervals.csv,Emotion,Derived or carried variable from upstream data preparation.,numeric,2036,12,0.006,"range: [-2, 2]"
engagement_cleaned_intervals.csv,Proximity,Derived or carried variable from upstream data preparation.,numeric,2036,12,0.006,"range: [1, 5]"
engagement_cleaned_intervals.csv,Touch,Derived or carried variable from upstream data preparation.,numeric,2036,162,0.08,"range: [1, 5]"
engagement_cleaned_intervals.csv,Communication,Derived or carried variable from upstream data preparation.,numeric,2036,12,0.006,"range: [1, 5]"
engagement_cleaned_intervals.csv,Eye,Derived or carried variable from upstream data preparation.,numeric,2036,12,0.006,"range: [1, 5]"
engagement_cleaned_intervals.csv,session_idx,Derived or carried variable from upstream data preparation.,numeric,2036,0,0.0,"range: [1, 44]"
engagement_exclusion_flags_by_PID.csv,pid,Public participant ID (integer; unique). Re-coded for release; not linkable to the identifiers used during data collection.,numeric,91,0,0.0,"range: [102, 212]"
engagement_exclusion_flags_by_PID.csv,any_cell_exceeds,Derived or carried variable from upstream data preparation.,character,91,0,0.0,"examples: FALSE, TRUE"
engagement_exclusion_flags_by_PID.csv,worst_missing_pct,Proportion (0–1).,numeric,91,0,0.0,"range: [0, 1]"
engagement_exclusion_flags_by_PID.csv,any_left_early,TRUE if participant left early in intro_play or q&a.,character,91,0,0.0,"examples: FALSE, TRUE"
engagement_exclusion_flags_by_PID.csv,flag_exclude_participant,Derived boolean flag used in inclusion/exclusion logic.,character,91,0,0.0,"examples: FALSE, TRUE"
engagement_exclusions_by_pid_and_why_COMBINED_50pctMinRule.csv,pid,Public participant ID (integer; unique). Re-coded for release; not linkable to the identifiers used during data collection.,numeric,11,0,0.0,"range: [123, 211]"
engagement_exclusions_by_pid_and_why_COMBINED_50pctMinRule.csv,flag_exclude_participant,Derived boolean flag used in inclusion/exclusion logic.,character,11,0,0.0,examples: TRUE
engagement_exclusions_by_pid_and_why_COMBINED_50pctMinRule.csv,missing_pct_both,Combined missing proportion across intro_play + q&a.,numeric,11,0,0.0,"range: [0, 1]"
engagement_exclusions_by_pid_and_why_COMBINED_50pctMinRule.csv,missing_pct_label,Derived or carried variable from upstream data preparation.,character,11,0,0.0,"examples: 0%, 100%, 11%, 16%"
engagement_exclusions_by_pid_and_why_COMBINED_50pctMinRule.csv,threshold_used,Derived or carried variable from upstream data preparation.,character,11,0,0.0,examples: 50%
engagement_exclusions_by_pid_and_why_COMBINED_50pctMinRule.csv,any_left_early,TRUE if participant left early in intro_play or q&a.,character,11,0,0.0,"examples: FALSE, TRUE"
engagement_exclusions_by_pid_and_why_COMBINED_50pctMinRule.csv,n_reasons,Count.,numeric,11,0,0.0,"range: [1, 2]"
engagement_exclusions_by_pid_and_why_COMBINED_50pctMinRule.csv,reason_list,Derived or carried variable from upstream data preparation.,character,11,0,0.0,"examples: Attempted 0 < required 5 (50% of planned minimum 9) in phase 'q&a' across ALL engagement types, Attempted 5 < required 6 (50% of planned minimum 12) in phase 'intro_play' across ALL engagement types; Combined missingness (intro_play + q&a) 100% > 50% across ALL engagement types, Combined missingness (intro_play + q&a) 54% > 50% across ALL engagement types"
engagement_exclusions_summary_by_pid.csv,pid,Public participant ID (integer; unique). Re-coded for release; not linkable to the identifiers used during data collection.,numeric,91,0,0.0,"range: [102, 212]"
engagement_exclusions_summary_by_pid.csv,group,Group label (ASD or NT / Autistic or Non-autistic).,character,91,0,0.0,"examples: ASD, NT"
engagement_exclusions_summary_by_pid.csv,total_attempted_both,Sum of attempted_all_types across intro_play + q&a.,numeric,91,0,0.0,"range: [10, 225]"
engagement_exclusions_summary_by_pid.csv,true_missing_both,Sum of true_missing_all_types across intro_play + q&a.,numeric,91,0,0.0,"range: [0, 70]"
engagement_exclusions_summary_by_pid.csv,missing_pct_both,Combined missing proportion across intro_play + q&a.,numeric,91,0,0.0,"range: [0, 1]"
engagement_exclusions_summary_by_pid.csv,any_left_early,TRUE if participant left early in intro_play or q&a.,character,91,0,0.0,"examples: FALSE, TRUE"
engagement_exclusions_summary_by_pid.csv,flag_min_violation,PID-level: any required phase fails the min_required rule.,character,91,0,0.0,"examples: FALSE, TRUE"
engagement_exclusions_summary_by_pid.csv,flag_missing_violation,PID-level: missing_pct_both > 0.50.,character,91,0,0.0,"examples: FALSE, TRUE"
engagement_exclusions_summary_by_pid.csv,flag_exclude_engagement,Engagement-based exclusion flag per PID.,character,91,0,0.0,"examples: FALSE, TRUE"
engagement_overall_means.csv,pid,Public participant ID (integer; unique). Re-coded for release; not linkable to the identifiers used during data collection.,numeric,87,0,0.0,"range: [102, 212]"
engagement_overall_means.csv,group,Group label (ASD or NT / Autistic or Non-autistic).,character,87,0,0.0,"examples: Autistic, Non-autistic"
engagement_overall_means.csv,Proximity,Derived or carried variable from upstream data preparation.,numeric,87,1,0.011,"range: [1, 5]"
engagement_overall_means.csv,Touch,Derived or carried variable from upstream data preparation.,numeric,87,21,0.241,"range: [1, 3.722]"
engagement_overall_means.csv,Communication,Derived or carried variable from upstream data preparation.,numeric,87,1,0.011,"range: [1, 4.1]"
engagement_overall_means.csv,Eye,Derived or carried variable from upstream data preparation.,numeric,87,1,0.011,"range: [1.25, 5]"
engagement_overall_means.csv,Emotion,Derived or carried variable from upstream data preparation.,numeric,87,1,0.011,"range: [-1.389, 2]"
engagement_phase_means.csv,pid,Public participant ID (integer; unique). Re-coded for release; not linkable to the identifiers used during data collection.,numeric,145,0,0.0,"range: [102, 212]"
engagement_phase_means.csv,group,Group label (ASD or NT / Autistic or Non-autistic).,character,145,0,0.0,"examples: Autistic, Non-autistic"
engagement_phase_means.csv,phase,"Experiment phase (normalised): intro_play, q&a, goodbye.",character,145,0,0.0,"examples: intro_play, q&a"
engagement_phase_means.csv,Proximity,Derived or carried variable from upstream data preparation.,numeric,145,1,0.007,"range: [1, 5]"
engagement_phase_means.csv,Touch,Derived or carried variable from upstream data preparation.,numeric,145,21,0.145,"range: [1, 3.913]"
engagement_phase_means.csv,Communication,Derived or carried variable from upstream data preparation.,numeric,145,1,0.007,"range: [1, 4.25]"
engagement_phase_means.csv,Eye,Derived or carried variable from upstream data preparation.,numeric,145,1,0.007,"range: [1, 5]"
engagement_phase_means.csv,Emotion,Derived or carried variable from upstream data preparation.,numeric,145,1,0.007,"range: [-1.389, 2]"
group_attrition_summary.csv,group,Group label (ASD or NT / Autistic or Non-autistic).,character,2,0,0.0,"examples: ASD, NT"
group_attrition_summary.csv,Excluded,Derived or carried variable from upstream data preparation.,numeric,2,0,0.0,"range: [25, 37]"
group_attrition_summary.csv,Included,Derived or carried variable from upstream data preparation.,numeric,2,0,0.0,"range: [0, 29]"
group_attrition_summary.csv,n_total,Count.,numeric,2,0,0.0,"range: [37, 54]"
group_attrition_summary.csv,prop_included,Derived or carried variable from upstream data preparation.,numeric,2,0,0.0,"range: [0, 0.537]"
group_attrition_summary.csv,prop_excluded,Derived or carried variable from upstream data preparation.,numeric,2,0,0.0,"range: [0.463, 1]"
inclusion_decisions_final.csv,pid,Public participant ID (integer; unique). Re-coded for release; not linkable to the identifiers used during data collection.,numeric,91,0,0.0,"range: [102, 212]"
inclusion_decisions_final.csv,group,Group label (ASD or NT / Autistic or Non-autistic).,character,91,0,0.0,"examples: ASD, NT"
inclusion_decisions_final.csv,missing_pct_both,Combined missing proportion across intro_play + q&a.,numeric,91,0,0.0,"range: [0, 1]"
inclusion_decisions_final.csv,flag_min_violation,PID-level: any required phase fails the min_required rule.,character,91,0,0.0,"examples: FALSE, TRUE"
inclusion_decisions_final.csv,flag_missing_violation,PID-level: missing_pct_both > 0.50.,character,91,0,0.0,"examples: FALSE, TRUE"
inclusion_decisions_final.csv,flag_exclude_engagement,Engagement-based exclusion flag per PID.,character,91,0,0.0,"examples: FALSE, TRUE"
inclusion_decisions_final.csv,practice_trial_1,"Practice trial 1: 1=correct, 0=incorrect, NA=missing.",numeric,91,21,0.231,"range: [0, 1]"
